Amenity,Type,Latitude,Longitude
Fern Green Primary School,School,1.397269661,103.8803303
Fernvale Primary School,School,1.39030228,103.8744455
First Toa Payoh Primary School,School,1.340322995,103.8555299
Frontier Primary School,School,1.336643112,103.6996828
Fuchun Primary School,School,1.430639758,103.7781752
Fuchun Secondary School,School,1.430704529,103.7776257
Fuhua Primary School,School,1.336597265,103.7360895
Fuhua Secondary School,School,1.347014089,103.7265209
Gan Eng Seng Primary School,School,1.285595165,103.8155474
Gan Eng Seng School,School,1.289071145,103.8237337
Geylang Methodist School (Primary),School,1.317591268,103.8838457
Geylang Methodist School (Secondary),School,1.317649005,103.8826611
Gongshang Primary School,School,1.357116068,103.9491448
Greendale Primary School,School,1.396481951,103.9123346
Greendale Secondary School,School,1.396960199,103.9117001
Greenridge Primary School,School,1.385889219,103.7677945
Greenridge Secondary School,School,1.381864337,103.7738285
Greenwood Primary School,School,1.439899583,103.8047256
Guangyang Primary School,School,1.345690115,103.8494532
Guangyang Secondary School,School,1.34440856,103.8502089
Hai Sing Catholic School,School,1.374346412,103.9549579
Haig Girls' School,School,1.311539114,103.9033936
Henry Park Primary School,School,1.316676462,103.7842962
Hillgrove Secondary School,School,1.352735766,103.7529865
Holy Innocents' High School,School,1.371545088,103.8963988
Holy Innocents' Primary School,School,1.366938309,103.8941149
Hong Wen School,School,1.32176,103.8576285
Horizon Primary School,School,1.399550034,103.9134049
Hougang Primary School,School,1.377382452,103.8808053
Hougang Secondary School,School,1.377640193,103.882534
Hua Yi Secondary School,School,1.352343655,103.7218323
Huamin Primary School,School,1.426958863,103.8442097
Hwa Chong Institution,School,1.325614933,103.8057306
Innova Primary School,School,1.428967007,103.7906075
Jiemin Primary School,School,1.427688477,103.8304255
Jing Shan Primary School,School,1.37223291,103.8521322
Junyuan Primary School,School,1.347870748,103.9392217
Junyuan Secondary School,School,1.353613153,103.9338862
Jurong Pioneer Junior College,School,1.384374064,103.7543746
Jurong Primary School,School,1.339175198,103.6988037
Jurong Secondary School,School,1.330020322,103.723953
Jurong West Primary School,School,1.339175198,103.6988037
Jurong West Secondary School,School,1.335256347,103.7020989
Jurongville Secondary School,School,1.351288628,103.7289077
Juying Secondary School,School,1.338722773,103.6873103
Keming Primary School,School,1.345063498,103.7559232
Kent Ridge Secondary School,School,1.301227734,103.7648896
Kheng Cheng School,School,1.337288184,103.8471411
Kong Hwa School,School,1.31099674,103.888352
Kranji Primary School,School,1.393560505,103.7473627
Kranji Secondary School,School,1.390051099,103.7411907
Kuo Chuan Presbyterian Primary School,School,1.349398137,103.8550182
Kuo Chuan Presbyterian Secondary School,School,1.350171299,103.8549837
Lakeside Primary School,School,1.338203977,103.7180895
Lianhua Primary School,School,1.354241911,103.7541658
Loyang View Secondary School,School,1.366584172,103.9569446
Maha Bodhi School,School,1.328470867,103.9012987
Manjusri Secondary School,School,1.327471231,103.90172
Maris Stella High School,School,1.341394734,103.8778525
